variable,field,Y2000,Y2010,district
Population,White Nonhispanic,55293,76242,1
Population,Black Nonhispanic,6596,6775,1
Population,Asian and Pacific Islander Nonhispanic,62768,60776,1
Population,Other Nonhispanic,879,641,1
Population,Two or More Races Nonhispanic,3109,3651,1
Population,Hispanic Origin,20786,20881,1
Population,Female,73784,86152,1
Population,Male,75647,82814,1
Population,Under 5 years,6501,8338,1
Population,5 to 9 years,6197,6120,1
Population,10 to 14 years,6468,5203,1
Population,15 to 19 years,8081,7199,1
Population,20 to 24 years,13887,16368,1
Population,25 to 44 years,55345,66683,1
Population,45 to 64 years,33119,37925,1
Population,65 years and over,19833,21130,1
Population,18 years and over,126352,146145,1
Population,In households,141335,160902,1
Population,In households_In family households,99393,103030,1
Population,In households_In family households_Householder,30401,33475,1
Population,In households_In family households_Spouse,21830,24151,1
Population,In households_In family households_Own child under 18 years,19361,19130,1
Population,In households_In family households_Other relatives,23671,23243,1
Population,In households_In family households_Nonrelatives,4130,3031,1
Population,In households_In nonfamily households,41942,57872,1
Population,In households_In nonfamily households_Householder,31943,42995,1
Population,In households_In nonfamily households_Householder 65 years and over living alone,6877,7239,1
Population,In households_In nonfamily households_Nonrelatives,9999,14877,1
Population,In group quarters_In nonfamily households,8096,8064,1
Households,In group quarters_In nonfamily households,62344,76470,1
Households,Family households_In nonfamily households,30401,33475,1
Households,Family households_Married-couple family,21830,24151,1
Households,Family households_Married-couple family_With related children under 18 years,9181,9864,1
Households,"Family households_Female householder, no husband present",6136,6698,1
Households,"Family households_Female householder, no husband present_With related children under 18 years",3228,3060,1
Households,"Family households_Male householder, no wife present",2435,2626,1
Households,"Family households_Male householder, no wife present_With related children under 18 years",798,896,1
Households,"Nonfamily households_Male householder, no wife present",31943,42995,1
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",15475,16420,1
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.1335482385447846,2.987274085138163,1
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.267018478121391,2.104119262455865,1
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",66882,84659,1
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",62344,76470,1
Housing Units,"Renter occupied_Male householder, no wife present",50652,60269,1
Housing Units,"Owner occupied_Male householder, no wife present",11692,16201,1
Housing Units,Owner occupied_1  person household,24763,31268,1
Housing Units,Owner occupied_2  person household,18653,25033,1
Housing Units,Owner occupied_3  person household,7686,9571,1
Housing Units,Owner occupied_4  person household,5734,6237,1
Housing Units,Owner occupied_5 persons and over,5508,4361,1
Housing Units,Householder Age - Owner occupied_15 to 24 years,3180,4983,1
Housing Units,Householder Age - Owner occupied_25 to 44 years,26482,35187,1
Housing Units,Householder Age - Owner occupied_45 to 64 years,19169,21743,1
Housing Units,Householder Age - Owner occupied_65 years and over,13513,14557,1
Population,White Nonhispanic,10219,12569,10
Population,Black Nonhispanic,9882,8649,10
Population,Asian and Pacific Islander Nonhispanic,2286,2602,10
Population,Other Nonhispanic,871,637,10
Population,Two or More Races Nonhispanic,1560,906,10
Population,Hispanic Origin,125343,111284,10
Population,Female,78910,71455,10
Population,Male,71251,65192,10
Population,Under 5 years,10965,7883,10
Population,5 to 9 years,12287,7291,10
Population,10 to 14 years,11843,8012,10
Population,15 to 19 years,11969,10221,10
Population,20 to 24 years,13487,13720,10
Population,25 to 44 years,46547,40657,10
Population,45 to 64 years,30001,33299,10
Population,65 years and over,13062,15564,10
Population,18 years and over,108173,107661,10
Population,In households,147878,134759,10
Population,In households_In family households,130558,112770,10
Population,In households_In family households_Householder,33721,30325,10
Population,In households_In family households_Spouse,14758,12174,10
Population,In households_In family households_Own child under 18 years,33830,21183,10
Population,In households_In family households_Other relatives,40049,42757,10
Population,In households_In family households_Nonrelatives,8200,6331,10
Population,In households_In nonfamily households,17320,21989,10
Population,In households_In nonfamily households_Householder,12707,15676,10
Population,In households_In nonfamily households_Householder 65 years and over living alone,3421,3738,10
Population,In households_In nonfamily households_Nonrelatives,4613,6313,10
Population,In group quarters_In nonfamily households,2283,1888,10
Households,In group quarters_In nonfamily households,46428,46001,10
Households,Family households_In nonfamily households,33721,30325,10
Households,Family households_Married-couple family,14758,12174,10
Households,Family households_Married-couple family_With related children under 18 years,9030,6268,10
Households,"Family households_Female householder, no husband present",15553,14480,10
Households,"Family households_Female householder, no husband present_With related children under 18 years",11034,8280,10
Households,"Family households_Male householder, no wife present",3410,3671,10
Households,"Family households_Male householder, no wife present_With related children under 18 years",1774,1685,10
Households,"Nonfamily households_Male householder, no wife present",12707,15676,10
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",10313,12357,10
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.6285400788825952,3.5099422918384167,10
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",3.185103816662359,2.9294797939175234,10
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",48067,48157,10
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",46428,46001,10
Housing Units,"Renter occupied_Male householder, no wife present",45062,44450,10
Housing Units,"Owner occupied_Male householder, no wife present",1366,1551,10
Housing Units,Owner occupied_1  person household,9768,11325,10
Housing Units,Owner occupied_2  person household,9818,11465,10
Housing Units,Owner occupied_3  person household,8950,8560,10
Housing Units,Owner occupied_4  person household,7757,6599,10
Housing Units,Owner occupied_5 persons and over,10135,8052,10
Housing Units,Householder Age - Owner occupied_15 to 24 years,2179,2107,10
Housing Units,Householder Age - Owner occupied_25 to 44 years,19969,15975,10
Housing Units,Householder Age - Owner occupied_45 to 64 years,16579,18460,10
Housing Units,Householder Age - Owner occupied_65 years and over,7701,9459,10
Population,White Nonhispanic,64206,53463,11
Population,Black Nonhispanic,29772,30092,11
Population,Asian and Pacific Islander Nonhispanic,10294,10995,11
Population,Other Nonhispanic,1528,1524,11
Population,Two or More Races Nonhispanic,4437,2613,11
Population,Hispanic Origin,54610,64235,11
Population,Female,89308,87638,11
Population,Male,75539,75284,11
Population,Under 5 years,11202,10802,11
Population,5 to 9 years,11116,9477,11
Population,10 to 14 years,9999,8986,11
Population,15 to 19 years,11111,11887,11
Population,20 to 24 years,12176,12613,11
Population,25 to 44 years,51438,46310,11
Population,45 to 64 years,33214,39314,11
Population,65 years and over,24591,23533,11
Population,18 years and over,126815,127725,11
Population,In households,155539,154554,11
Population,In households_In family households,124514,122124,11
Population,In households_In family households_Householder,39010,37476,11
Population,In households_In family households_Spouse,23213,20877,11
Population,In households_In family households_Own child under 18 years,33696,30774,11
Population,In households_In family households_Other relatives,24648,28582,11
Population,In households_In family households_Nonrelatives,3947,4415,11
Population,In households_In nonfamily households,31025,32430,11
Population,In households_In nonfamily households_Householder,26385,26739,11
Population,In households_In nonfamily households_Householder 65 years and over living alone,8233,7935,11
Population,In households_In nonfamily households_Nonrelatives,4640,5691,11
Population,In group quarters_In nonfamily households,9308,8368,11
Households,In group quarters_In nonfamily households,65395,64215,11
Households,Family households_In nonfamily households,39010,37476,11
Households,Family households_Married-couple family,23213,20877,11
Households,Family households_Married-couple family_With related children under 18 years,11090,10002,11
Households,"Family households_Female householder, no husband present",12492,12988,11
Households,"Family households_Female householder, no husband present_With related children under 18 years",8402,8180,11
Households,"Family households_Male householder, no wife present",3305,3611,11
Households,"Family households_Male householder, no wife present_With related children under 18 years",1603,1676,11
Households,"Nonfamily households_Male householder, no wife present",26385,26739,11
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",16772,16405,11
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.0906690592155854,3.1409168534528766,11
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.378454010245432,2.406820836253212,11
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",68107,68496,11
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",65395,64215,11
Housing Units,"Renter occupied_Male householder, no wife present",49804,46944,11
Housing Units,"Owner occupied_Male householder, no wife present",15591,17271,11
Housing Units,Owner occupied_1  person household,22709,22568,11
Housing Units,Owner occupied_2  person household,18747,17862,11
Housing Units,Owner occupied_3  person household,10585,10262,11
Housing Units,Owner occupied_4  person household,7449,7426,11
Housing Units,Owner occupied_5 persons and over,5905,6097,11
Housing Units,Householder Age - Owner occupied_15 to 24 years,2745,2082,11
Housing Units,Householder Age - Owner occupied_25 to 44 years,27457,23542,11
Housing Units,Householder Age - Owner occupied_45 to 64 years,20232,24479,11
Housing Units,Householder Age - Owner occupied_65 years and over,14961,14112,11
Population,White Nonhispanic,11424,7169,12
Population,Black Nonhispanic,112102,114604,12
Population,Asian and Pacific Islander Nonhispanic,2357,2594,12
Population,Other Nonhispanic,1095,1754,12
Population,Two or More Races Nonhispanic,4599,2703,12
Population,Hispanic Origin,33183,42358,12
Population,Female,91963,95396,12
Population,Male,72797,75786,12
Population,Under 5 years,11539,10775,12
Population,5 to 9 years,13076,11040,12
Population,10 to 14 years,12440,11845,12
Population,15 to 19 years,11628,13586,12
Population,20 to 24 years,10358,12101,12
Population,25 to 44 years,47981,43744,12
Population,45 to 64 years,36189,44763,12
Population,65 years and over,21549,23328,12
Population,18 years and over,120543,129141,12
Population,In households,161516,167783,12
Population,In households_In family households,138727,143169,12
Population,In households_In family households_Householder,41123,42065,12
Population,In households_In family households_Spouse,20079,18404,12
Population,In households_In family households_Own child under 18 years,35557,33623,12
Population,In households_In family households_Other relatives,37091,43821,12
Population,In households_In family households_Nonrelatives,4877,5256,12
Population,In households_In nonfamily households,22789,24614,12
Population,In households_In nonfamily households_Householder,19757,21247,12
Population,In households_In nonfamily households_Householder 65 years and over living alone,6238,6908,12
Population,In households_In nonfamily households_Nonrelatives,3032,3367,12
Population,In group quarters_In nonfamily households,3244,3399,12
Households,In group quarters_In nonfamily households,60880,63312,12
Households,Family households_In nonfamily households,41123,42065,12
Households,Family households_Married-couple family,20079,18404,12
Households,Family households_Married-couple family_With related children under 18 years,10321,8766,12
Households,"Family households_Female householder, no husband present",17428,19305,12
Households,"Family households_Female householder, no husband present_With related children under 18 years",11715,12207,12
Households,"Family households_Male householder, no wife present",3616,4356,12
Households,"Family households_Male householder, no wife present_With related children under 18 years",1884,2144,12
Households,"Nonfamily households_Male householder, no wife present",19757,21247,12
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",15742,17586,12
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.2548695377282786,3.2785688814929275,12
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.6530223390275958,2.6500979277230226,12
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",64305,66700,12
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",60880,63312,12
Housing Units,"Renter occupied_Male householder, no wife present",37877,39647,12
Housing Units,"Owner occupied_Male householder, no wife present",23003,23665,12
Housing Units,Owner occupied_1  person household,17462,18720,12
Housing Units,Owner occupied_2  person household,16102,16496,12
Housing Units,Owner occupied_3  person household,11232,11443,12
Housing Units,Owner occupied_4  person household,8231,8315,12
Housing Units,Owner occupied_5 persons and over,7853,8338,12
Housing Units,Householder Age - Owner occupied_15 to 24 years,1952,1637,12
Housing Units,Householder Age - Owner occupied_25 to 44 years,23604,20100,12
Housing Units,Householder Age - Owner occupied_45 to 64 years,22022,26871,12
Housing Units,Householder Age - Owner occupied_65 years and over,13302,14704,12
Population,White Nonhispanic,89086,66836,13
Population,Black Nonhispanic,14972,19729,13
Population,Asian and Pacific Islander Nonhispanic,8500,12124,13
Population,Other Nonhispanic,1083,1450,13
Population,Two or More Races Nonhispanic,3886,2101,13
Population,Hispanic Origin,47309,66290,13
Population,Female,87188,88400,13
Population,Male,77648,80130,13
Population,Under 5 years,10040,9987,13
Population,5 to 9 years,10514,9756,13
Population,10 to 14 years,9797,9978,13
Population,15 to 19 years,9318,11007,13
Population,20 to 24 years,10288,11724,13
Population,25 to 44 years,51306,48086,13
Population,45 to 64 years,35458,42615,13
Population,65 years and over,28115,25377,13
Population,18 years and over,128813,132430,13
Population,In households,158742,162375,13
Population,In households_In family households,131921,135422,13
Population,In households_In family households_Householder,41017,40849,13
Population,In households_In family households_Spouse,27060,24567,13
Population,In households_In family households_Own child under 18 years,32174,31675,13
Population,In households_In family households_Other relatives,28290,34123,13
Population,In households_In family households_Nonrelatives,3380,4208,13
Population,In households_In nonfamily households,26821,26953,13
Population,In households_In nonfamily households_Householder,23133,22996,13
Population,In households_In nonfamily households_Householder 65 years and over living alone,8328,7400,13
Population,In households_In nonfamily households_Nonrelatives,3688,3957,13
Population,In group quarters_In nonfamily households,6094,6155,13
Households,In group quarters_In nonfamily households,64150,63845,13
Households,Family households_In nonfamily households,41017,40849,13
Households,Family households_Married-couple family,27060,24567,13
Households,Family households_Married-couple family_With related children under 18 years,12436,11511,13
Households,"Family households_Female householder, no husband present",10729,12320,13
Households,"Family households_Female householder, no husband present_With related children under 18 years",6257,7141,13
Households,"Family households_Male householder, no wife present",3228,3962,13
Households,"Family households_Male householder, no wife present_With related children under 18 years",1359,1812,13
Households,"Nonfamily households_Male householder, no wife present",23133,22996,13
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",19323,17838,13
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.133846941512056,3.2121716565889007,13
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",2.474544037412315,2.5432688542564024,13
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",67143,68067,13
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",64150,63845,13
Housing Units,"Renter occupied_Male householder, no wife present",39874,40868,13
Housing Units,"Owner occupied_Male householder, no wife present",24276,22977,13
Housing Units,Owner occupied_1  person household,20142,19736,13
Housing Units,Owner occupied_2  person household,18334,17736,13
Housing Units,Owner occupied_3  person household,11080,10913,13
Housing Units,Owner occupied_4  person household,8334,8293,13
Housing Units,Owner occupied_5 persons and over,6260,7167,13
Housing Units,Householder Age - Owner occupied_15 to 24 years,1938,1566,13
Housing Units,Householder Age - Owner occupied_25 to 44 years,24983,22578,13
Housing Units,Householder Age - Owner occupied_45 to 64 years,20377,24741,13
Housing Units,Householder Age - Owner occupied_65 years and over,16852,14960,13
Population,White Nonhispanic,5579,4238,14
Population,Black Nonhispanic,39081,33289,14
Population,Asian and Pacific Islander Nonhispanic,4766,4404,14
Population,Other Nonhispanic,1673,1172,14
Population,Two or More Races Nonhispanic,2522,1416,14
Population,Hispanic Origin,104302,114357,14
Population,Female,83770,83742,14
Population,Male,74153,75134,14
Population,Under 5 years,15346,13153,14
Population,5 to 9 years,16305,12106,14
Population,10 to 14 years,14116,12073,14
Population,15 to 19 years,12541,14036,14
Population,20 to 24 years,12779,13794,14
Population,25 to 44 years,50493,46284,14
Population,45 to 64 years,26806,35278,14
Population,65 years and over,9537,12152,14
Population,18 years and over,104667,113337,14
Population,In households,155750,155640,14
Population,In households_In family households,138392,136891,14
Population,In households_In family households_Householder,36954,36515,14
Population,In households_In family households_Spouse,14319,13089,14
Population,In households_In family households_Own child under 18 years,44804,36657,14
Population,In households_In family households_Other relatives,34678,43007,14
Population,In households_In family households_Nonrelatives,7637,7623,14
Population,In households_In nonfamily households,17358,18749,14
Population,In households_In nonfamily households_Householder,13545,14603,14
Population,In households_In nonfamily households_Householder 65 years and over living alone,2892,3242,14
Population,In households_In nonfamily households_Nonrelatives,3813,4146,14
Population,In group quarters_In nonfamily households,2173,3236,14
Households,In group quarters_In nonfamily households,50499,51118,14
Households,Family households_In nonfamily households,36954,36515,14
Households,Family households_Married-couple family,14319,13089,14
Households,Family households_Married-couple family_With related children under 18 years,9449,8106,14
Households,"Family households_Female householder, no husband present",18804,18868,14
Households,"Family households_Female householder, no husband present_With related children under 18 years",14822,13178,14
Households,"Family households_Male householder, no wife present",3831,4558,14
Households,"Family households_Male householder, no wife present_With related children under 18 years",2156,2400,14
Households,"Nonfamily households_Male householder, no wife present",13545,14603,14
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",7488,9417,14
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.5383179087514205,3.54013419142818,14
Persons Per Household,"Households with one or more persons 65 years and over_Male householder, no wife present",3.0842194894948416,3.044720059470245,14
Total Housing Units,"Households with one or more persons 65 years and over_Male householder, no wife present",53157,53817,14
Housing Units,"Householder Age - Households with one or more persons 65 years and over_Male householder, no wife present",50499,51118,14
Housing Units,"Renter occupied_Male householder, no wife present",47094,47884,14
Housing Units,"Owner occupied_Male householder, no wife present",3405,3234,14
Housing Units,Owner occupied_1  person household,10940,11797,14
Housing Units,Owner occupied_2  person household,11053,11385,14
Housing Units,Owner occupied_3  person household,10215,9903,14
Housing Units,Owner occupied_4  person household,8378,8391,14
Housing Units,Owner occupied_5 persons and over,9913,9642,14
Housing Units,Householder Age - Owner occupied_15 to 24 years,3194,2059,14
Housing Units,Householder Age - Owner occupied_25 to 44 years,25544,21046,14
Housing Units,Householder Age - Owner occupied_45 to 64 years,16037,20972,14
Housing Units,Householder Age - Owner occupied_65 years and over,5724,7041,14
Population,White Nonhispanic,10115,8207,15
Population,Black Nonhispanic,40523,41854,15
Population,Asian and Pacific Islander Nonhispanic,4037,3822,15
Population,Other Nonhispanic,1508,1310,15
Population,Two or More Races Nonhispanic,3167,1488,15
Population,Hispanic Origin,100741,111314,15
Population,Female,85396,88925,15
Population,Male,74695,79070,15
Population,Under 5 years,15622,14602,15
Population,5 to 9 years,17317,13877,15
Population,10 to 14 years,14730,13639,15
Population,15 to 19 years,13063,15429,15
Population,20 to 24 years,13502,15177,15
Population,25 to 44 years,48851,47839,15
Population,45 to 64 years,25935,35027,15
Population,65 years and over,11071,12405,15
Population,18 years and over,104534,116709,15
Population,In households,156861,165171,15
Population,In households_In family households,137833,142883,15
Population,In households_In family households_Householder,36984,38542,15
Population,In households_In family households_Spouse,14191,13422,15
Population,In households_In family households_Own child under 18 years,46619,42106,15
Population,In households_In family households_Other relatives,33013,41521,15
Population,In households_In family households_Nonrelatives,7026,7292,15
Population,In households_In nonfamily households,19028,22288,15
Population,In households_In nonfamily households_Householder,15342,17624,15
Population,In households_In nonfamily households_Householder 65 years and over living alone,3967,4171,15
Population,In households_In nonfamily households_Nonrelatives,3686,4664,15
Population,In group quarters_In nonfamily households,3230,2824,15
Households,In group quarters_In nonfamily households,52326,56166,15
Households,Family households_In nonfamily households,36984,38542,15
Households,Family households_Married-couple family,14191,13422,15
Households,Family households_Married-couple family_With related children under 18 years,9181,8230,15
Households,"Family households_Female householder, no husband present",19223,20615,15
Households,"Family households_Female householder, no husband present_With related children under 18 years",15287,15076,15
Households,"Family households_Male householder, no wife present",3570,4505,15
Households,"Family households_Male householder, no wife present_With related children under 18 years",2035,2428,15
Households,"Nonfamily households_Male householder, no wife present",15342,17624,15
Households,"Households with one or more persons 65 years and over_Male householder, no wife present",8815,10538,15
Persons Per Family,"Households with one or more persons 65 years and over_Male householder, no wife present",3.536853774605235,3.5180063307560583,15
