Significant Student Time,Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
FALSE,STA 9750 Lecture 1,2026-01-29,6:05 PM,2026-01-29,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
FALSE,STA 9750 Lecture 2,2026-02-05,6:05 PM,2026-02-05,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
FALSE,STA 9750 Pre-Assignment 2: Pre-Assignment Due,2026-02-05,05:30 PM,2026-02-05,06:00 PM,False,Submitted via Brightspace
FALSE,STA 9750 Syllabus Quiz: Syllabus Quiz / Verification of Enrollment,2026-02-12,11:29 PM,2026-02-12,11:59 PM,False,NA
FALSE,STA 9750 Lecture 3,2026-02-19,6:05 PM,2026-02-19,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
FALSE,STA 9750 Course Project: Team Roster Submission,2026-02-19,11:29 PM,2026-02-19,11:59 PM,False,Direct Submission to Instructor
FALSE,STA 9750 Pre-Assignment 3: Pre-Assignment Due,2026-02-19,05:30 PM,2026-02-19,06:00 PM,False,Submitted via Brightspace
TRUE,STA 9750 Mini-Project 0: Mini-Project Due,2026-02-20,11:29 PM,2026-02-20,11:59 PM,False,Submitted via GitHub and Brightspace
TRUE,STA 9750 Lecture 4,2026-02-26,6:05 PM,2026-02-26,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
NA,STA 9750 Course Project: Team Contract Due,2026-02-26,05:30 PM,2026-02-26,06:00 PM,False,NA
NA,STA 9750 Course Project: Project Proposal Presentation Slides Due,2026-02-26,05:30 PM,2026-02-26,06:00 PM,False,In-Class Presentation
TRUE,STA 9750 Mini-Project 0: Mini-Project Peer Feedback Due,2026-03-01,11:29 PM,2026-03-01,11:59 PM,False,Submitted via GitHub and Brightspace
FALSE,STA 9750 Lecture 5,2026-03-05,6:05 PM,2026-03-05,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
FALSE,STA 9750 Pre-Assignment 5: Pre-Assignment Due,2026-03-05,05:30 PM,2026-03-05,06:00 PM,False,Submitted via Brightspace
FALSE,STA 9750 Lecture 6,2026-03-12,6:05 PM,2026-03-12,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
FALSE,STA 9750 Pre-Assignment 6: Pre-Assignment Due,2026-03-12,05:30 PM,2026-03-12,06:00 PM,False,Submitted via Brightspace
TRUE,STA 9750 Mini-Project 1: Mini-Project Due,2026-03-13,11:29 PM,2026-03-13,11:59 PM,False,Submitted via GitHub and Brightspace
FALSE,STA 9750 Lecture 7,2026-03-19,6:05 PM,2026-03-19,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
FALSE,STA 9750 Pre-Assignment 7: Pre-Assignment Due,2026-03-19,05:30 PM,2026-03-19,06:00 PM,False,Submitted via Brightspace
TRUE,STA 9750 Mini-Project 1: Mini-Project Peer Feedback Due,2026-03-22,11:29 PM,2026-03-22,11:59 PM,False,Submitted via GitHub and Brightspace
TRUE,STA 9750 Lecture 8,2026-03-26,6:05 PM,2026-03-26,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
NA,STA 9750 Course Project: Mid-Semester Check-In Slides Due,2026-03-26,05:30 PM,2026-03-26,06:00 PM,False,NA
NA,STA 9750 Course Project: Mid-Semester Teammate Peer Evaluations Due,2026-04-02,11:29 PM,2026-04-02,11:59 PM,False,Submitted via Brightspace
TRUE,STA 9750 Mini-Project 2: Mini-Project Due,2026-04-03,11:29 PM,2026-04-03,11:59 PM,False,Submitted via GitHub and Brightspace
TRUE,STA 9750 Mini-Project 2: Mini-Project Peer Feedback Due,2026-04-12,11:29 PM,2026-04-12,11:59 PM,False,Submitted via GitHub and Brightspace
FALSE,STA 9750 Lecture 9,2026-04-16,6:05 PM,2026-04-16,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
FALSE,STA 9750 Pre-Assignment 9: Pre-Assignment Due,2026-04-16,05:30 PM,2026-04-16,06:00 PM,False,Submitted via Brightspace
FALSE,STA 9750 Lecture 10,2026-04-21,6:05 PM,2026-04-21,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
FALSE,STA 9750 Pre-Assignment 10: Pre-Assignment Due,2026-04-21,05:30 PM,2026-04-21,06:00 PM,False,Submitted via Brightspace
FALSE,STA 9750 Lecture 11,2026-04-23,6:05 PM,2026-04-23,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
FALSE,STA 9750 Pre-Assignment 11: Pre-Assignment Due,2026-04-23,05:30 PM,2026-04-23,06:00 PM,False,Submitted via Brightspace
TRUE,STA 9750 Mini-Project 3: Mini-Project Due,2026-04-24,11:29 PM,2026-04-24,11:59 PM,False,Submitted via GitHub and Brightspace
FALSE,STA 9750 Lecture 12,2026-04-30,6:05 PM,2026-04-30,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
FALSE,STA 9750 Pre-Assignment 12: Pre-Assignment Due,2026-04-30,05:30 PM,2026-04-30,06:00 PM,False,Submitted via Brightspace
TRUE,STA 9750 Mini-Project 3: Mini-Project Peer Feedback Due,2026-05-03,11:29 PM,2026-05-03,11:59 PM,False,Submitted via GitHub and Brightspace
TRUE,STA 9750 Lecture 13,2026-05-07,6:05 PM,2026-05-07,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
NA,STA 9750 Course Project: Final Project Presentation Slides Due,2026-05-07,05:30 PM,2026-05-07,06:00 PM,False,In-Class Presentation
FALSE,STA 9750 Lecture 14,2026-05-14,6:05 PM,2026-05-14,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
FALSE,STA 9750 Pre-Assignment 14: Pre-Assignment Due,2026-05-14,05:30 PM,2026-05-14,06:00 PM,False,Submitted via Brightspace
TRUE,STA 9750 Mini-Project 4: Mini-Project Due,2026-05-15,11:29 PM,2026-05-15,11:59 PM,False,Submitted via GitHub and Brightspace
TRUE,STA 9750 Course Project: Final Project Summary Report Due [Tentative],2026-05-21,11:29 PM,2026-05-21,11:59 PM,False,Submitted via GitHub and Brightspace
TRUE,STA 9750 Course Project: Final Project Individual Report Due [Tentative],2026-05-21,11:29 PM,2026-05-21,11:59 PM,False,Submitted via GitHub and Brightspace
TRUE,STA 9750 Course Project: Final Project Teammate Peer Evaluations Due [Tentative],2026-05-21,11:29 PM,2026-05-21,11:59 PM,False,Submitted via Brightspace
TRUE,STA 9750 Mini-Project 4: Mini-Project Peer Feedback Due,2026-05-24,11:29 PM,2026-05-24,11:59 PM,False,Submitted via GitHub and Brightspace
