Course Element,Section,Item Number,Action,Responsible Party,Date,Time,Details
Class Session,Thursday,1,NA,Instructor,2025-08-28,6:05pm ET,Lecture #01: Topic: Course Overview and Key Infrastructure
Class Session,Thursday,2,NA,Instructor,2025-09-04,6:05pm ET,Lecture #02: Tools for Reproducible Research
Class Session,Thursday,3,NA,Instructor,2025-09-11,6:05pm ET,"Lecture #03: Coding in R: Variables, Control Flow, Packages, Function Calls"
Class Session,Thursday,4,NA,Instructor,2025-09-18,6:05pm ET,Lecture #04: Single Table dplyr Verbs
Class Session,Thursday,5,NA,Instructor,2025-09-25,6:05pm ET,Lecture #05: Multi-Table dplyr Verbs
Class Session,Thursday,6,NA,Instructor,2025-10-09,6:05pm ET,Project Proposal Presentation
Class Session,Thursday,7,NA,Instructor,2025-10-16,6:05pm ET,Lecture #06: Plotting with ggplot2
Class Session,Thursday,8,NA,Instructor,2025-10-23,6:05pm ET,"Topic #07: Advanced ggplot2 – maps, interactivity, animation"
Class Session,Thursday,9,NA,Instructor,2025-10-30,6:05pm ET,Topic #08:Data Import and File System Usage; APIs
Class Session,Thursday,10,NA,Instructor,2025-11-06,6:05pm ET,Mid-Semester Check-In Presentation
Class Session,Thursday,11,NA,Instructor,2025-11-13,6:05pm ET,Topic #09:  Introduction to Web Technologies & Web Scraping
Class Session,Thursday,12,NA,Instructor,2025-11-20,6:05pm ET,"Topic #10: Strings, Regular Expressions, and Text Processing"
Class Session,Thursday,13,NA,Instructor,2025-12-04,6:05pm ET,Topic #11: Statistical Modeling in R
Class Session,Thursday,14,NA,Instructor,2025-12-11,6:05pm ET,Final Project Presentation
No Class,Thursday,1,NA,NA,2025-10-02,NA,Classes Cancelled (Yom Kippur)
No Class,Thursday,2,NA,NA,2025-11-27,NA,Classes Cancelled (Thanksgiving)
Course Project,Both,NA,NA,Instructor,2025-09-09,NA,Course Project Description Finalized
Course Project,Both,NA,NA,Student,2025-09-30,11:59pm ET,Team Roster Submission
Course Project,Both,NA,NA,Student,2025-12-18,11:59pm ET,Final Project Summary Report Due
Course Project,Both,NA,NA,Student,2025-12-18,11:59pm ET,Final Project Individual Report Due
Course Project,Both,NA,NA,Student,2025-12-18,11:59pm ET,Final Project Teammate Peer Evaluations Due
Mini-Projects,Both,0,NA,Instructor,2025-08-26,NA,Mini-Project Released
Mini-Projects,Both,0,NA,Student,2025-09-12,11:59pm ET,Mini-Project Due
Mini-Projects,Both,0,NA,Instructor,2025-09-15,NA,Mini-Project Peer Feedback Assigned
Mini-Projects,Both,0,NA,Student,2025-09-22,11:59pm ET,Mini-Project Peer Feedback Due
Mini-Projects,Both,1,NA,Instructor,2025-09-16,NA,Mini-Project Released
Mini-Projects,Both,1,NA,Student,2025-10-03,11:59pm ET,Mini-Project Due
Mini-Projects,Both,1,NA,Instructor,2025-10-06,NA,Mini-Project Peer Feedback Assigned
Mini-Projects,Both,1,NA,Student,2025-10-13,11:59pm ET,Mini-Project Peer Feedback Due
Mini-Projects,Both,2,NA,Instructor,2025-09-30,NA,Mini-Project Released
Mini-Projects,Both,2,NA,Student,2025-10-31,11:59pm ET,Mini-Project Due
Mini-Projects,Both,2,NA,Instructor,2025-11-03,NA,Mini-Project Peer Feedback Assigned
Mini-Projects,Both,2,NA,Student,2025-11-14,11:59pm ET,Mini-Project Peer Feedback Due
Mini-Projects,Both,3,NA,Instructor,2025-10-21,NA,Mini-Project Released
Mini-Projects,Both,3,NA,Student,2025-11-14,11:59pm ET,Mini-Project Due
Mini-Projects,Both,3,NA,Instructor,2025-11-17,NA,Mini-Project Peer Feedback Assigned
Mini-Projects,Both,3,NA,Student,2025-11-28,11:59pm ET,Mini-Project Peer Feedback Due
Mini-Projects,Both,4,NA,Instructor,2025-11-01,NA,Mini-Project Released
Mini-Projects,Both,4,NA,Student,2025-12-05,11:59pm ET,Mini-Project Due
Mini-Projects,Both,4,NA,Instructor,2025-12-08,NA,Mini-Project Peer Feedback Assigned
Mini-Projects,Both,4,NA,Student,2025-12-19,11:59pm ET,Mini-Project Peer Feedback Due
Pre-Assignments,Both,2,NA,Instructor,2025-08-26,NA,Pre-Assignment Released
Pre-Assignments,Both,2,NA,Student,2025-09-03,11:59pm ET,Pre-Assignment Due
Pre-Assignments,Both,3,NA,Instructor,2025-09-02,NA,Pre-Assignment Released
Pre-Assignments,Both,3,NA,Student,2025-09-10,11:59pm ET,Pre-Assignment Due
Pre-Assignments,Both,4,NA,Instructor,2025-09-09,NA,Pre-Assignment Released
Pre-Assignments,Both,4,NA,Student,2025-09-17,11:59pm ET,Pre-Assignment Due
Pre-Assignments,Both,5,NA,Instructor,2025-09-16,NA,Pre-Assignment Released
Pre-Assignments,Both,5,NA,Student,2025-09-29,11:59pm ET,Pre-Assignment Due
Pre-Assignments,Both,7,NA,Instructor,2025-10-07,NA,Pre-Assignment Released
Pre-Assignments,Both,7,NA,Student,2025-10-20,11:59pm ET,Pre-Assignment Due
Pre-Assignments,Both,8,NA,Instructor,2025-10-16,NA,Pre-Assignment Released
Pre-Assignments,Both,8,NA,Student,2025-10-27,11:59pm ET,Pre-Assignment Due
Pre-Assignments,Both,9,NA,Instructor,2025-10-23,NA,Pre-Assignment Released
Pre-Assignments,Both,9,NA,Student,2025-11-03,11:59pm ET,Pre-Assignment Due
Pre-Assignments,Both,11,NA,Instructor,2025-11-06,NA,Pre-Assignment Released
Pre-Assignments,Both,11,NA,Student,2025-11-17,11:59pm ET,Pre-Assignment Due
Pre-Assignments,Both,12,NA,Instructor,2025-11-13,NA,Pre-Assignment Released
Pre-Assignments,Both,12,NA,Student,2025-11-24,11:59pm ET,Pre-Assignment Due
Pre-Assignments,Both,13,NA,Instructor,2025-11-20,NA,Pre-Assignment Released
Pre-Assignments,Both,13,NA,Student,2025-12-03,11:59pm ET,Pre-Assignment Due
