SCHOOL,DISTRICT,COUNTY,DISTRICT_TYPE,REGION,ATTENDANCE_RATE,LANGUAGE_ARTS_AVERAGE_CLASS_SIZE,MATHEMATICS_AVERAGE_CLASS_SIZE,SCIENCE_AVERAGE_CLASS_SIZE,HISTORY_GOVERNMENT_AND_GEOGRAPHY_AVERAGE_CLASS_SIZE,GRADE_1_AVERAGE_CLASS_SIZE,GRADE_2_AVERAGE_CLASS_SIZE,KINDERGARTEN_AVERAGE_CLASS_SIZE,PERCENT_FREE_LUNCH,PERCENT_REDUCED_LUNCH,NUMBER_OF_TEACHERS,NUMBER_OF_COUNSELORS,NUMBER_OF_SOCIAL_WORKERS,TEACHER_TURNOVER_RATE,PERCENT_OF_STUDENTS_SUSPENDED,N_PUPILS,FEDERAL_FUNDING_PER_PUPIL,LOCAL_FUNDING_PER_PUPIL,PRE_K,K,GRADE_01,GRADE_02,GRADE_03,GRADE_04,GRADE_05,GRADE_06,GRADE_07,GRADE_08,GRADE_09,GRADE_10,GRADE_11,GRADE_12,PERCENT_MALE,PERCENT_FEMALE,PERCENT_ENGLISH_LANGUAGE_LEANERS,PERCENT_AMERICAN_INDIAN,PERCENT_BLACK,PERCENT_ASIAN,PERCENT_HISPANIC,PERCENT_WHITE,PERCENT_MULTIRACIAL,PERCENT_WITH_DISABILITIES,PERCENT_ECONOMICALLY_DISADVANTAGED,PERCENT_MIGRANT,PERCENT_HOMELESS,PERCENT_IN_FOSTER_CARE,PERCENT_PARENT_ARMED_FORCES
985b8c85,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",95,23,23,21,NA,NA,NA,NA,36,0,29,0,1,NA,0,324,4087,30054,32,51,48,49,49,47,42,0,0,0,0,0,0,0,52,48,5,0,22,13,11,43,11,10,36,0,1,0,0
bb40e0bd,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",92,12,12.333333333333334,12,NA,NA,NA,NA,76,0,55,0,1,NA,3,347,4447,30340,0,55,68,57,45,63,59,0,0,0,0,0,0,0,54,46,25,0,36,15,22,19,8,15,76,0,4,2,0
e34e83ee,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",91,11.666666666666666,11.666666666666666,11,NA,NA,NA,NA,84,0,49,0,1,NA,1,311,3529,24776,20,51,49,52,52,45,42,0,0,0,0,0,0,0,53,47,30,1,32,17,35,9,7,5,84,0,3,0,0
ba6bf2f3,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",94,13,13,15,NA,NA,NA,NA,48,0,61,0,2,NA,1,459,3973,30560,0,72,87,85,63,79,73,0,0,0,0,0,0,0,52,48,13,0,23,12,15,38,11,14,48,0,2,0,0
07ff665a,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",93,19.666666666666668,19.666666666666668,23,NA,NA,NA,NA,60,0,40,0,1,NA,0,332,4919,36513,0,41,58,56,51,58,46,0,0,0,0,0,0,0,44,56,5,0,43,10,17,18,11,13,60,0,6,0,0
71fde3c1,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",93,10.666666666666666,10.666666666666666,12,NA,NA,NA,NA,62,0,48,0,0,NA,7,286,4747,32958,0,41,57,50,47,44,47,0,0,0,0,0,0,0,55,45,12,1,28,12,19,32,8,20,62,0,5,0,0
3ef2f659,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",92,13,13,14,NA,NA,NA,NA,76,0,34,0,0,NA,6,263,27156,36934,0,36,42,38,42,51,54,0,0,0,0,0,0,0,58,42,17,0,41,26,12,13,9,17,76,0,5,0,0
2f728afa,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",89,13.333333333333334,14.333333333333334,13,NA,NA,NA,NA,89,0,59,0,2,NA,4,406,5184,32439,0,38,63,72,74,82,77,0,0,0,0,0,0,0,52,48,15,1,56,7,23,7,6,26,89,0,8,1,0
3a0a3ca5,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",90,14.666666666666666,15.25,19,NA,NA,NA,NA,69,0,96,2,3,NA,27,630,4104,33867,0,0,0,0,0,0,0,209,197,224,0,0,0,0,50,49,13,0,39,10,25,20,6,20,69,0,6,1,0
5696a898,e7b5e035,9742e328,High-Need Urban/Suburban,"Capital District, New York",83,14,24.666666666666668,21,16.5,NA,NA,NA,71,0,235,10,9,NA,15,2764,3815,30206,0,0,0,0,0,0,0,0,0,0,758,692,613,633,52,48,15,0,43,11,23,17,5,14,71,0,3,0,0
