Course Element,Item Number,Responsible Party,Date,Time,Details,Significant Student Time
Class Session,1,Instructor,2026-01-29,6:05pm ET,Lecture #01: Course Overview and Key Infrastructure,FALSE
Class Session,2,Instructor,2026-02-05,6:05pm ET,Lecture #02: Tools for Reproducible Research,FALSE
Class Session,3,Instructor,2026-02-19,6:05pm ET,"Lecture #03: Coding in R: Variables, Control Flow, Packages, Function Calls",FALSE
Class Session,4,Instructor,2026-02-26,6:05pm ET,Project Proposal Presentation + Enrichment: Additional Review of R,TRUE
Class Session,5,Instructor,2026-03-05,6:05pm ET,Lecture #04: Single Table dplyr Verbs,FALSE
Class Session,6,Instructor,2026-03-12,6:05pm ET,Lecture #05: Multi-Table dplyr Verbs,FALSE
Class Session,7,Instructor,2026-03-19,6:05pm ET,Lecture #06: Plotting with ggplot2,FALSE
Class Session,8,Instructor,2026-03-26,6:05pm ET,Mid-Semester Check-In Presentation + Enrichment: SQL,TRUE
Class Session,9,Instructor,2026-04-16,6:05pm ET,Lecture #07: Data Import and File System Usage; APIs,FALSE
Class Session,10,Instructor,2026-04-21,6:05pm ET,"Lecture #08: Advanced ggplot2 – maps, interactivity, animation",FALSE
Class Session,11,Instructor,2026-04-23,6:05pm ET,Lecture #09: Introduction to Web Technologies & Web Scraping,FALSE
Class Session,12,Instructor,2026-04-30,6:05pm ET,"Lecture #10: Strings, Regular Expressions, and Text Processing",FALSE
Class Session,13,Instructor,2026-05-07,6:05pm ET,Final Project Presentation + Enrichment: Functional Tools in R,TRUE
Class Session,14,Instructor,2026-05-14,6:05pm ET,Lecture #11: Statistical Modeling in R,FALSE
Course Project,,Instructor,2026-02-05,,Course Project Description Finalized,FALSE
Course Project,,Student,2026-02-19,11:59pm ET,Team Roster Submission,FALSE
Course Project,,Student,2026-02-26,6:00pm ET,Team Contract Due,
Course Project,,Student,2026-02-26,6:00pm ET,Project Proposal Presentation Slides Due,
Course Project,,Student,2026-03-26,6:00pm ET,Mid-Semester Check-In Slides Due,
Course Project,,Student,2026-04-02,11:59pm ET,Mid-Semester Teammate Peer Evaluations Due,
Course Project,,Student,2026-05-07,6:00pm ET,Final Project Presentation Slides Due,
Course Project,,Student,2026-05-21,11:59pm ET,Final Project Summary Report Due [Tentative],TRUE
Course Project,,Student,2026-05-21,11:59pm ET,Final Project Individual Report Due [Tentative],TRUE
Course Project,,Student,2026-05-21,11:59pm ET,Final Project Teammate Peer Evaluations Due [Tentative],TRUE
Mini-Projects,0,Instructor,2026-01-29,,Mini-Project Released,FALSE
Mini-Projects,0,Student,2026-02-20,11:59pm ET,Mini-Project Due,TRUE
