Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
STA/OPR 9750 Lecture 1,2025-01-30,6:05 PM,2025-01-30,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Pre-Assignment 2: Pre-Assignment Due,2025-02-05,11:15 PM,2025-02-05,11:45 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 2,2025-02-06,6:05 PM,2025-02-06,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 0: Mini-Project Due,2025-02-12,11:15 PM,2025-02-12,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Pre-Assignment 3: Pre-Assignment Due,2025-02-12,11:15 PM,2025-02-12,11:45 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 3,2025-02-13,6:05 PM,2025-02-13,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 0: Mini-Project Peer Feedback Due,2025-02-19,11:15 PM,2025-02-19,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Pre-Assignment 4: Pre-Assignment Due,2025-02-19,11:15 PM,2025-02-19,11:45 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 4,2025-02-20,6:05 PM,2025-02-20,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Pre-Assignment 5: Pre-Assignment Due,2025-02-26,11:15 PM,2025-02-26,11:45 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 5,2025-02-27,6:05 PM,2025-02-27,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Course Project: Team Roster Submission,2025-03-05,11:15 PM,2025-03-05,11:45 PM,False,Direct Submission to Instructor
STA/OPR 9750 Mini-Project 1: Mini-Project Due,2025-03-05,11:15 PM,2025-03-05,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Mini-Project 1: Mini-Project Peer Feedback Due,2025-03-12,11:15 PM,2025-03-12,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Lecture 6,2025-03-13,6:05 PM,2025-03-13,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Course Project: Project Proposal Presentation,2025-03-13,05:35 PM,2025-03-13,06:05 PM,False,In-Class Presentation
STA/OPR 9750 Pre-Assignment 7: Pre-Assignment Due,2025-03-19,11:15 PM,2025-03-19,11:45 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 7,2025-03-20,6:05 PM,2025-03-20,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 2: Mini-Project Due,2025-03-26,11:15 PM,2025-03-26,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Pre-Assignment 8: Pre-Assignment Due,2025-03-26,11:15 PM,2025-03-26,11:45 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 8,2025-03-27,6:05 PM,2025-03-27,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 2: Mini-Project Peer Feedback Due,2025-04-02,11:15 PM,2025-04-02,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Pre-Assignment 9: Pre-Assignment Due,2025-04-02,11:15 PM,2025-04-02,11:45 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 9,2025-04-03,6:05 PM,2025-04-03,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Lecture 10,2025-04-10,6:05 PM,2025-04-10,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Course Project: Mid-Semester Check-In Presentation,2025-04-10,05:35 PM,2025-04-10,06:05 PM,False,In-Class Presentation
STA/OPR 9750 Pre-Assignment 11: Pre-Assignment Due,2025-04-16,11:15 PM,2025-04-16,11:45 PM,False,Submitted via Brightspace
STA/OPR 9750 Mini-Project 3: Mini-Project Due,2025-04-23,11:15 PM,2025-04-23,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Lecture 11,2025-04-24,6:05 PM,2025-04-24,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 3: Mini-Project Peer Feedback Due,2025-04-30,11:15 PM,2025-04-30,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Pre-Assignment 12: Pre-Assignment Due,2025-04-30,11:15 PM,2025-04-30,11:45 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 12,2025-05-01,6:05 PM,2025-05-01,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 4: Mini-Project Due,2025-05-07,11:15 PM,2025-05-07,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Pre-Assignment 13: Pre-Assignment Due,2025-05-07,11:15 PM,2025-05-07,11:45 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 13,2025-05-08,6:05 PM,2025-05-08,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 4: Mini-Project Peer Feedback Due,2025-05-14,11:15 PM,2025-05-14,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Lecture 14,2025-05-15,6:05 PM,2025-05-15,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Course Project: Final Project Presentation,2025-05-15,05:35 PM,2025-05-15,06:05 PM,False,In-Class Presentation
STA/OPR 9750 Course Project: Final Project Summary Report Due,2025-05-22,11:15 PM,2025-05-22,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Course Project: Final Project Individual Report Due,2025-05-22,11:15 PM,2025-05-22,11:45 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Course Project: Final Project Teammate Peer Evaluations,2025-05-22,11:15 PM,2025-05-22,11:45 PM,False,Submitted via Brightspace
