Subject,Start Date,Start Time,End Date,End Time,All Day Event,Location
STA/OPR 9750 Lecture 1,2025-08-26,6:05 PM,2025-08-26,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Lecture 2,2025-09-02,6:05 PM,2025-09-02,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Pre-Assignment 2: Pre-Assignment Due,2025-09-03,11:29 PM,2025-09-03,11:59 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 3,2025-09-09,6:05 PM,2025-09-09,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Pre-Assignment 3: Pre-Assignment Due,2025-09-10,11:29 PM,2025-09-10,11:59 PM,False,Submitted via Brightspace
STA/OPR 9750 Mini-Project 0: Mini-Project Due,2025-09-12,11:29 PM,2025-09-12,11:59 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Lecture 4,2025-09-16,6:05 PM,2025-09-16,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Pre-Assignment 4: Pre-Assignment Due,2025-09-17,11:29 PM,2025-09-17,11:59 PM,False,Submitted via Brightspace
STA/OPR 9750 Mini-Project 0: Mini-Project Peer Feedback Due,2025-09-22,11:29 PM,2025-09-22,11:59 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Pre-Assignment 5: Pre-Assignment Due,2025-09-29,11:29 PM,2025-09-29,11:59 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 5,2025-09-30,6:05 PM,2025-09-30,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Course Project: Team Roster Submission,2025-09-30,11:29 PM,2025-09-30,11:59 PM,False,Direct Submission to Instructor
STA/OPR 9750 Lecture 6,2025-10-07,6:05 PM,2025-10-07,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Pre-Assignment 7: Pre-Assignment Due,2025-10-20,11:29 PM,2025-10-20,11:59 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 7,2025-10-21,6:05 PM,2025-10-21,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 2: Mini-Project Due,2025-10-24,11:29 PM,2025-10-24,11:59 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Pre-Assignment 8: Pre-Assignment Due,2025-10-27,11:29 PM,2025-10-27,11:59 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 8,2025-10-28,6:05 PM,2025-10-28,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 2: Mini-Project Peer Feedback Due,2025-11-03,11:29 PM,2025-11-03,11:59 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Pre-Assignment 9: Pre-Assignment Due,2025-11-03,11:29 PM,2025-11-03,11:59 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 9,2025-11-04,6:05 PM,2025-11-04,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 3: Mini-Project Due,2025-11-07,11:29 PM,2025-11-07,11:59 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Lecture 10,2025-11-11,6:05 PM,2025-11-11,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 3: Mini-Project Peer Feedback Due,2025-11-17,11:29 PM,2025-11-17,11:59 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Pre-Assignment 11: Pre-Assignment Due,2025-11-17,11:29 PM,2025-11-17,11:59 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 11,2025-11-18,6:05 PM,2025-11-18,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 4: Mini-Project Due,2025-11-21,11:29 PM,2025-11-21,11:59 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Pre-Assignment 12: Pre-Assignment Due,2025-11-24,11:29 PM,2025-11-24,11:59 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 12,2025-11-25,6:05 PM,2025-11-25,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Mini-Project 4: Mini-Project Peer Feedback Due,2025-12-01,11:29 PM,2025-12-01,11:59 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Lecture 13,2025-12-02,6:05 PM,2025-12-02,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Pre-Assignment 13: Pre-Assignment Due,2025-12-03,11:29 PM,2025-12-03,11:59 PM,False,Submitted via Brightspace
STA/OPR 9750 Lecture 14,2025-12-09,6:05 PM,2025-12-09,9:00 PM,False,Zoom [Link distributed via CUNY Brightspace]
STA/OPR 9750 Course Project: Final Project Summary Report Due,2025-12-18,11:29 PM,2025-12-18,11:59 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Course Project: Final Project Individual Report Due,2025-12-18,11:29 PM,2025-12-18,11:59 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Course Project: Final Project Teammate Peer Evaluations Due,2025-12-18,11:29 PM,2025-12-18,11:59 PM,False,Submitted via Brightspace
STA/OPR 9750 Mini-Project 1: Mini-Project Due,2026-10-03,11:29 PM,2026-10-03,11:59 PM,False,Submitted via GitHub and Brightspace
STA/OPR 9750 Mini-Project 1: Mini-Project Peer Feedback Due,2026-10-13,11:29 PM,2026-10-13,11:59 PM,False,Submitted via GitHub and Brightspace
